ItemNumber,ItemName,CategoryName,CountryState
495,Clos du Bois Sauvignon Blanc 750ml,Sauvignon Blanc,California
652,Dom Drouhin Pinot Noir 750ml,Pinot Noir,Oregon
903,Glen Ellen Merlot 1.5L,1.5L Merlot,California
925,Grgich Hills Cabernet 750ml 2008,Cabernet Sauvignon,California
1543,Ridge Zinfandel Paso Robles 750ml 2007,Zinfandel,California
1711,Stag's Leap Chardonnay Karia Napa 750ml,Chardonnay,California
1771,Sutter Home White Zinfandel 187ml-4p,Wine (Misc),California
278,Bolla Valpolicella 1.5L,1.5L Other Red,Italy
544,Cooks Brut 1.5L,Wine - Sparkling,California
1008,J Roget Spumante 1.5L,Wine - Sparkling,California
1227,Manischewitz Concord Grape 1.5L,Wine (Misc),New York
1229,Manischewitz Concord Grape 750ml,Wine (Misc),New York
1186,Livingston Cellars Blush Chablis 3L,Wine - 3L/4L,California
1102,Korbel Brut Rose 750ml,Wine - Sparkling,California
1446,Perrier Jouet Grand Brut 375ml,Wine - Sparkling,France
1447,Perrier Jouet Grand Brut 750ml,French Champagne,France
1625,Schramsberg Blanc De Blancs Vintge 750ml,Wine - Sparkling,California
919,Graham's Six Grapes 750ml,Port/Sherry,Portugal
1225,Manischewitz Blackberry 1.5L,Wine (Misc),New York
1226,Manischewitz Blackberry 3L,Wine (Misc),New York
1233,Manischewitz Cr White Concord 1.5L,Wine (Misc),New York
1801,Taylor Sherry Dry 1.5L,Port/Sherry,California
678,Duboeuf Beaujolais Villages 750ml,Beaujolais,France
1358,Mouton Cadet Red 750ml,Bordeaux,France
1359,Mouton Cadet Wt 750ml,White Bordeaux,France
116,Banfi Brunello di Montalcino 750ml,Tuscany,Italy
122,Banfi Rosa Regale 750ml,Wine - Sparkling,Italy
1468,Placido Pinot Grigio 750ml,Pinot Grigio,Italy
1479,Principessa Gavi di Gavi 750ml,Wine - Italy White,Italy
1778,Taittinger La Francaise Brut NV 375ml,Wine - Sparkling,France
1793,Taylor Fladgate LBV Port 750ml 2009,Port/Sherry,Portugal
929,Groth Cabernet Oakville 750ml 2013,Cabernet Sauvignon,California
931,Groth Chardonnay 750ml 2005,Chardonnay,California
1372,Murphy Goode Chardonnay Sonoma 750ml,Chardonnay,California
