ItemNumber,ItemName,CategoryName,CountryState
720,Erath Pinot Noir 750ml,Pinot Noir,Oregon
66,Antinori Cervaro Della Sala 750ml 2005,Chardonnay,Italy
256,Blandy's Rainwater Madeira 750ml,Dessert,Portugal
450,Charles de Fere Blanc De Blancs Br 750ml,Wine - Sparkling,France
1513,Raymond Cabernet Napa Reserve 750ml,Cabernet Sauvignon,California
1514,Raymond Chardonnay Napa Reserve 750ml,Chardonnay,California
1995,Zaccagnini Montepulciano D'Abruzzo 750ml,Wine - Italy Red,Italy
264,Bogle Cabernet 750ml,Cabernet Sauvignon,California
273,Bogle Zinfandel Old Vine 750ml,Zinfandel,California
339,Cain Cuvee 750ml,Cabernet Sauvignon,California
755,Fess Parker Chardonnay Santa Barb 750ml,Chardonnay,California
1639,Seghesio Zinfandel Old Vines 750ml 2001,Zinfandel,California
1998,Zenato Amarone 750ml 2010,Wine - Italy Red,Italy
2000,Zenato Valpolicella Superiore 750ml 2012,Wine - Italy Red,Italy
485,Cline Zinfandel Lodi California 750ml,Zinfandel,California
798,Foppiano Petite Sirah Estate RRV 750ml,Misc Red,California
888,Gekkeikan Sake 1.5L,Wine (Misc),California
1710,Stag's Leap Aveta Sauv Blanc Napa 750ml,Sauvignon Blanc,California
47,Almaden Merlot 5LBox,Box Wines,California
1085,Kenwood Sauvignon Blanc 750ml,Sauvignon Blanc,California
1349,Monte Antico Rosso 750ml,Tuscany,Italy
930,Groth Cabernet Reserve 750ml,Cabernet Sauvignon,California
1170,Lindemans Merlot Bin 40 750ml,Merlot,Australia
785,Flora Springs Trilogy 750ml 2014,Cabernet Sauvignon,California
723,Estancia Merlot 750ml,Merlot,California
1084,Kenwood Merlot 750ml,Merlot,California
611,D'Arenberg Shiraz Footbolt 750ml,Syrah/Shiraz,Australia
1712,Stag's Leap FAY Cabernet 750ml,Cabernet Sauvignon,California
961,Heitz Chardonnay Napa 750ml,Chardonnay,California
1144,Laurent Perrier Rose 750ml,French Champagne,France
934,Gruet Blanc de Noirs 750ml,Wine - Sparkling,New Mexico
335,BV Tapestry 750ml 2001,Cabernet Sauvignon,California
1061,Justin Isosceles 750ml,Cabernet Sauvignon,California
1696,Speri Amarone 750ml 2013,Wine - Italy Red,Italy
814,Francois Montand Blanc de Blancs 750ml,Wine - Sparkling,France
1217,Luna di Luna Pinot Grigio 750ml,Pinot Grigio,Italy
461,Chiarlo Nivole Moscato 375ml,Dessert,Italy
386,Catena Malbec 750ml,Malbec,Argentina
684,Duckhorn Merlot Three Palms 750ml,Merlot,California
496,Clos du Val Cabernet Estate 750ml,Cabernet Sauvignon,California
1873,Vendange Wt Zinfandel 1.5L,Wine - White Zin./Beverage,California
1336,Mondavi Prvt Sel Chardonnay 750ml,Chardonnay,California
864,Gabbiano Cavaliere D'Oro Chianti 1.5L,1.5L Other Red,Italy
867,GabbianoCavaliere Chianti Classico 750ml,Tuscany,Italy
1627,Schramsberg Brut Rose 750ml,Wine - Sparkling,California
1373,Murphy Goode Sauv Blanc The Fume 750ml,Sauvignon Blanc,California
1371,Murphy Goode Cabernet 750ml,Cabernet Sauvignon,California
43,Allegrini Palazzo Della Torre 750ml 2009,Wine - Italy Red,Italy
1781,Takara Plum Wine 750ml,Wine (Misc),Japan
793,Fonseca 20 Yr Tawny Porto 750ml,Port/Sherry,Portugal
707,Edna Valley Chardonnay 750ml,Chardonnay,California
1073,Kendall Jackson Chardonnay Grd Rsv 750ml,Chardonnay,California
1071,Kendall Jackson Chardonnay 375ml,Wine (Misc),California
1563,Rodney Strong Chardonnay Sonoma 750ml,Chardonnay,California
1872,Vendange Sauvignon Blanc 1.5L,1.5L Sauv Blanc,California
346,Campo Viejo Rioja Reserva 750ml,Wine - Spain,Spain
344,Cambria Pinot Noir Julia's 750ml,Pinot Noir,California
1918,Wild Horse Pinot Noir 750ml,Pinot Noir,California
1240,Markham Cabernet Napa 750ml,Cabernet Sauvignon,California
1700,St Francis Cabernet 750ml,Cabernet Sauvignon,California
857,Frog's Leap Chardonnay 750ml,Chardonnay,California
1718,Stags' Leap Petite Sirah 750ml,Misc Red,California
1378,Newton Chardonnay Unfiltered 750ml,Chardonnay,California
1249,Marques De Riscal Rioja Reserva 750ml,Wine - Spain,Spain
819,Franzia Chablis 5LBox,Box Wines,Global
829,Franzia Mountain Burgundy 5LBox,Box Wines,Global
1081,Kendall Jackson Sauv Blanc 750ml,Sauvignon Blanc,California
1912,Wente Chardonnay Morning Fog 750ml,Chardonnay,California
525,Concha Y Toro Frontera Cab Merlot 1.5L,1.5L Cabernet,Chile
1601,S Sohne Riesling-Blue 750ml,Wine - Germany,Germany
477,Citra Montepulciano 1.5L,1.5L Other Red,Italy
1243,Markham Sauvignon Blanc Napa 750ml,Sauvignon Blanc,California
1166,Lindemans Cabernet Bin 45 750ml,Cabernet Sauvignon,Australia
1174,Lindemans Shiraz Bin 50 750ml,Syrah/Shiraz,Australia
1017,Jacob's Creek Cabernet 750ml,Cabernet Sauvignon,Australia
1019,Jacob's Creek Chardonnay 750ml,Chardonnay,Australia
1377,Nederburg Pinotage 750ml,Misc Red,South Africa
1715,Stags' Leap Cabernet Napa 750ml,Cabernet Sauvignon,California
1879,Verdi Spumante 187ml-6p,Wine - Sparkling,Italy
1379,Newton Claret 750ml,Cabernet Sauvignon,California
1453,Peter Vella Chablis 5LBox,Box Wines,California
499,Cockburn's Fine Ruby 750ml,Port/Sherry,Portugal
800,Forest Glen Chardonnay 750ml,Chardonnay,California
1470,Pol Roger Brut 750ml,French Champagne,France
1626,Schramsberg Blanc De Noirs 750ml,Wine - Sparkling,California
484,Cline Zinfandel Ancient Vines 750ml,Zinfandel,California
322,Bully Hill Sweet Walter White 750ml,Local Wine,New York
491,Clos du Bois Chardonnay Res RRV 750ml,Chardonnay,California
975,Hogue Riesling 750ml,Gewurztraminer/Riesling,Washington
752,Ferrari-Carano Merlot 750ml,Merlot,California
1890,Veuve Clicquot Brut Vintage Gold 750ml,French Champagne,France
1608,Saintsbury Pinot Noir Carneros 750ml,Pinot Noir,California
1836,Trapiche Malbec 750ml,Malbec,Argentina
1325,Mondavi CK Cabernet 1.5L,1.5L Cabernet,California
837,Freemark Abbey Cabernet Napa 750ml,Cabernet Sauvignon,California
1366,Mumm Napa Blanc De Blanc 750ml,Wine - Sparkling,California
107,Aveleda Vinho Verde 750ml,Wine - Portugal,Portugal
769,Firesteed Pinot Noir Oregon 750ml,Pinot Noir,Oregon
939,Gundlach Bundschu Merlot 750ml,Merlot,California
974,Hogue Late Harvest Riesling 750ml,Dessert,Washington
1557,Rochioli Chardonnay 750ml 2016,Chardonnay,California
977,Honig Sauvignon Blanc 750ml,Sauvignon Blanc,California
1095,Kings Ridge Pinot Noir 750ml,Pinot Noir,Oregon
854,Frey Organic Chardonnay 750ml,Chardonnay,California
385,Catena Chardonnay 750ml,Chardonnay,Argentina
859,Frog's Leap Sauvignon Blanc 750ml,Sauvignon Blanc,California
1690,Sonoma-Cutrer Chardonnay Les Piere 750ml,Chardonnay,California
1435,Peachy Canyon Incredible Zinfandel 750ml,Zinfandel,California
1705,St Supery Sauvignon Blanc 750ml,Sauvignon Blanc,California
935,Gruet Brut 750ml,Wine - Sparkling,New Mexico
741,Faustino VII Rioja 750ml,Wine - Spain,Spain
1443,Perrier Jouet B Epq Gift w/2 Glass 750gft,French Champagne,France
960,Heitz Cabernet Trailside 750ml 1999,Cabernet Sauvignon,California
725,Estancia Pinot Noir 750ml,Pinot Noir,California
1790,Taylor Fladgate 10 Yr Tawny 750ml,Port/Sherry,Portugal
1915,Wente Sauvignon Blanc Louis Mel 750ml,Sauvignon Blanc,California
253,Blackstone Merlot California 750ml,Merlot,California
410,Ch Montelena Cabernet Napa 750ml,Cabernet Sauvignon,California
1029,Jadot Bourgogne Chardonnay 750ml,Burgundy,France
1571,Rombauer Chardonnay 750ml,Chardonnay,California
1804,Taylor Tawny Port 3L,Port/Sherry,California
838,Freemark Abbey Chardonnay 750ml,Chardonnay,California
1910,Wente Cabernet Southern Hills 750ml,Cabernet Sauvignon,California
294,Borsao Red Campo de Borja 750ml 2007,Wine - Spain,Spain
1251,Martin Codax Albarino Rias Baixas 750ml,Wine - Spain,Spain
951,Hardy's Whisker's Blake Port 750ml,Port/Sherry,Australia
251,Blackstone Chardonnay California 750ml,Chardonnay,California
490,Clos du Bois Chardonnay 750ml,Chardonnay,California
1837,Trapiche Malbec Oak Cask 750ml,Malbec,Argentina
928,Grgich Hills Zinfandel 750ml 2004,Zinfandel,California
1839,Trefethen Cabernet 750ml,Cabernet Sauvignon,California
1916,Whitehall Lane Cabernet 750ml,Cabernet Sauvignon,California
937,Guigal Chateauneuf du Pape 750ml,Rhone,France
1768,Sutter Home White Merlot 1.5L,Wine - White Zin./Beverage,California
1385,Nobilo Sauvignon Blanc 750ml,Sauvignon Blanc,New Zealand
533,Concha Y Toro Frontera Merlot 1.5L,1.5L Merlot,Chile
697,Dynamite Cabernet 750ml,Cabernet Sauvignon,California
91,Argyle Brut 750ml,Wine - Sparkling,Oregon
1330,Mondavi Oakville Cabernet 750ml,Cabernet Sauvignon,California
1234,Marietta Old Vine Red 750ml,Misc Red,California
1341,Mondavi Prvt Sel Pinot Noir 750ml,Pinot Noir,California
1346,"Mondavi, CK Sauvignon Blanc 1.5L",1.5L Sauv Blanc,California
1515,Real Sangria 1.5L,Wine - White Zin./Beverage,Spain
1825,Toad Hollow Chardonnay Francines S 750ml,Chardonnay,California
1282,Mer Soleil Chardonnay Santa Lucia 750ml,Chardonnay,California
657,Dom Perignon Brut Rose 750ml 2004,French Champagne,France
517,Columbia Crest Riesling Two Vines 750ml,Gewurztraminer/Riesling,Washington
1568,Roederer Cristal 750ml,French Champagne,France
1703,St Francis Zinfandel Old Vines 750ml 2001,Zinfandel,California
229,Billecart Salmon Brut Reserve 750ml,French Champagne,France
230,Billecart Salmon Brut Rose 750ml,French Champagne,France
586,Cristalino Brut 750ml,Wine - Sparkling,Spain
1188,Livingston Cellars Cabernet 3L,Wine - 3L/4L,California
414,Ch Morrisette Sweet Mt. Laurel 750ml,Local Wine,Virginia
753,Ferrari-Carano Siena 750ml,Cabernet Sauvignon,California
1342,Mondavi Prvt Sel Sauvignon Blanc 750ml,Sauvignon Blanc,California
852,Frey Natural Red Organic 750ml,Misc Red,California
821,Franzia Chianti 5LBox,Box Wines,Global
347,Campo Viejo Rioja Tempranillo 750ml,Wine - Spain,Spain
1256,Masi Costasera Amarone 750ml,Wine - Italy Red,Italy
1822,Tiefenbrunner Pinot Grigio 750ml 2014,Pinot Grigio,Italy
1889,Veuve Clicquot Brut Rose Vintage 750ml,French Champagne,France
1216,Luna di Luna Pinot Grigio 1.5L,1.5L Pinot Grigio,Italy
671,Drouhin Beaujolais Villages 750ml,Beaujolais,France
498,Cloudy Bay Sauvignon Blanc 750ml 2014,Sauvignon Blanc,New Zealand
702,Ecco Domani Merlot 750ml,Merlot,Italy
1002,J Lohr Merlot Los Osos 750ml,Merlot,California
1503,Rancho Zabaco Zinfandel Heritage 750ml,Zinfandel,California
641,DeLoach Chardonnay California 750ml,Chardonnay,California
737,Fat Bastard Chardonnay 750ml,Chardonnay,France
1025,Jacob's Creek Shiraz 750ml,Syrah/Shiraz,Australia
378,Casal Garcia Vinho Verde 750ml,Wine - Portugal,Portugal
62,Andre Spumante 750ml,Wine - Sparkling,California
1938,Woodbridge Mondavi Merlot 1.5L,1.5L Merlot,California
1996,Zardetto Prosecco 750ml,Wine - Sparkling,Italy
1391,Norton Privada 750ml,Malbec,Argentina
1926,Williamsburg Governors White 750ml,Local Wine,Virginia
509,Columbia Crest Chard Two Vines 1.5L,1.5L Chard,Washington
412,Ch Morrisette Our Dog Blue 750ml,Local Wine,Virginia
1795,Taylor Lake Country Red 3L,Wine - 3L/4L,New York
1580,Rosenblum Zinfandel Vinter's Cuvee 750ml,Zinfandel,California
222,Berrywine Medieval Mead 750ml,Local Wine,Maryland
1190,Livingston Cellars Chardonnay 3L,Wine - 3L/4L,California
733,Falesco Vitiano Rosso 750ml 2012,Wine - Italy Red,Italy
964,Hess Collection Cabernet Mt Veeder 750ml,Cabernet Sauvignon,California
965,Hess Select Cabernet Sauvignon 750ml,Cabernet Sauvignon,California
554,Copperridge Cabernet 750ml,Cabernet Sauvignon,California
841,Frei Brothers Merlot Reserve 750ml,Merlot,California
1173,Lindemans Shiraz Bin 50 1.5L,1.5L Shiraz,Australia
113,Babich Sauvignon Blanc 750ml 2005,Sauvignon Blanc,New Zealand
1686,Sokol Blosser Evolution 750ml,Misc White,Oregon
1589,Ruffino Lumina Pinot Grigio 750ml,Pinot Grigio,Italy
1999,Zenato Valpolicella Ripassa 750ml 2011,Wine - Italy Red,Italy
313,Brancott Sauvignon Blanc 750ml,Sauvignon Blanc,New Zealand
1506,Ravenswood Vintner's Cabernet 750ml,Cabernet Sauvignon,California
539,Conn Creek Cabernet 750ml,Cabernet Sauvignon,California
1203,Louis Martini Cabernet Sonoma 750ml,Cabernet Sauvignon,California
1458,Peter Vella White Zinfandel 5LBox,Box Wines,California
873,Gallo Family Vineyards Merlot 1.5L,1.5L Merlot,California
1541,Ridge Zinfandel Lytton Springs 750ml,Zinfandel,California
1893,Vieux Telegraphe Ch du Pape Rouge 750ml 2012,Rhone,France
232,Biltmore Estate Cabernet 750ml,Local Wine,North Carolina
740,Faustino I Rioja Gran Reserva 750ml,Wine - Spain,Spain
1884,Veuve Clicquot Brut NV 3L,Wine - Sparkling,France
205,Beringer Founders' Pinot Noir 750ml,Pinot Noir,California
820,Franzia Chardonnay 5LBox,Box Wines,Global
693,Duplin Scuppernong 750ml,Local Wine,North Carolina
688,Duplin Carolina Red 750ml,Local Wine,North Carolina
84,Arbor Mist Exotic Fruits White Zin 1.5L,Wine - White Zin./Beverage,New York
998,J Lohr Arroyo Vista Chardonnay 750ml,Chardonnay,California
1191,Livingston Cellars Merlot 3L,Wine - 3L/4L,California
1351,Montes Alpha Cabernet Sauvignon 750ml 2013,Cabernet Sauvignon,Chile
705,Edmeades Zinfandel Mendocino 750ml,Zinfandel,California
883,Gary Farrell Pinot Noir Russ River 750ml,Pinot Noir,California
1985,Yellow Tail Shiraz Cabernet 1.5L,1.5L Shiraz,Australia
391,Cavit Pinot Noir 1.5L,1.5L Other Red,Italy
1714,Stags' Leap Cabernet Estate 750ml,Cabernet Sauvignon,California
1725,Stella Pinot Grigio 750ml 2014,Pinot Grigio,Italy
803,Four Vines Zinfandel Lodi 750ml,Zinfandel,California
1983,Yellow Tail Shiraz 1.5L,1.5L Shiraz,Australia
1459,Piccini Chianti 750ml,Tuscany,Italy
1112,Kunde Merlot Sonoma 750ml 2015,Merlot,California
923,Greg Norman Estates Cab / Merlot 750ml,Cabernet Sauvignon,Australia
219,Beringer White Zinfandel 1.5L,Wine - White Zin./Beverage,California
1214,Luna di Luna Merlot / Cabernet 1.5L,1.5L Merlot,Italy
1345,"Mondavi, CK Merlot 1.5L",1.5L Merlot,California
200,Beringer Founders' Cabernet 750ml,Cabernet Sauvignon,California
204,Beringer Founders' Merlot 750ml,Merlot,California
694,Duplin Scuppernong Blush 750ml,Local Wine,North Carolina
1656,Sho Chiku Bai Sake 750ml,Wine (Misc),California
1827,Toasted Head Chardonnay 750ml,Chardonnay,California
651,Dom Carneros Pinot Noir 750ml,Pinot Noir,California
1421,Pahlmeyer Merlot Napa 750ml 2004,Merlot,California
719,Erath Pinot Gris 750ml,Pinot Grigio,Oregon
886,Gavala Santorini 750ml,Wine (Misc),Greece
567,Coppola Rosso 750ml,Misc Red,California
566,Coppola Pres Bianco Pinot Grigio 750ml,Pinot Grigio,California
966,Hess Select Chardonnay Monterey 750ml,Chardonnay,California
1963,Yellow Tail Chardonnay 750ml,Chardonnay,Australia
1962,Yellow Tail Chardonnay 1.5L,1.5L Chard,Australia
1731,Sterling Vintner's Cabernet 750ml,Cabernet Sauvignon,California
1734,Sterling Vintner's Merlot 750ml,Merlot,California
1732,Sterling Vintner's Chardonnay 750ml,Chardonnay,California
197,Beringer Chenin Blanc 1.5L,1.5L Other White,California
433,Ch Ste Michelle Riesling Eroica 750ml 2016,Gewurztraminer/Riesling,Washington
489,Clos du Bois Chardonnay 1.5L,1.5L Chard,California
430,Ch Ste Michelle Pinot Gris 750ml,Pinot Grigio,Washington
1759,Sutter Home Pinot Grigio 1.5L,1.5L Pinot Grigio,California
1663,Simi Cabernet Landslide 750ml,Cabernet Sauvignon,California
1665,Simi Chardonnay Russian River 750ml,Chardonnay,California
729,Excelsior Cabernet 750ml 2014,Cabernet Sauvignon,South Africa
993,Inniskillin Ice Wine Cab Franc 375ml,Dessert,Canada
572,Corbett Canyon Chardonnay 3LBox,Wine - 3L/4L,California
581,Craggy Range Sauv Blanc Te Muna Rd 750ml,Sauvignon Blanc,New Zealand
67,Antinori Guado al Tasso Superiore 750ml 2003,Tuscany,Italy
83,Arbor Mist Blackberry Merlot 1.5L,Wine - White Zin./Beverage,New York
1424,Paraduxx Red Blend Napa 750ml,Misc Red,California
218,Beringer White Merlot 750ml,Wine - White Zin./Beverage,California
217,Beringer White Merlot 1.5L,Wine - White Zin./Beverage,California
1921,Willamette Valley Pinot Nr  Estate 750ml,Pinot Noir,Oregon
1797,Taylor Port 3L,Port/Sherry,California
1250,Marques De Riscal Rueda Wt 750ml,Wine - Spain,Spain
1154,Lehmann Clancy's 750ml,Misc Red,Australia
1716,Stags' Leap Chardonnay 750ml,Chardonnay,California
1180,Linganore Peach 750ml,Local Wine,Maryland
431,Ch Ste Michelle Riesling 750ml,Gewurztraminer/Riesling,Washington
751,Ferrari-Carano Fume Blanc 750ml 2005,Sauvignon Blanc,California
901,Glen Ellen Cabernet 1.5L,1.5L Cabernet,California
865,Gabbiano Cavaliere D'Oro Chianti 750ml,Tuscany,Italy
1291,Mezzacorona Pinot Grigio 750ml,Pinot Grigio,Italy
1410,Ozeki Junmai Sake 750ml,Wine (Misc),California
1354,Montinore Pinot Noir Willamette 750ml,Pinot Noir,Oregon
121,Banfi Entree Red 1.5L,1.5L Other Red,Italy
1076,Kendall Jackson Merlot Grand Res 750ml,Merlot,California
1909,Warre's Warrior Porto 750ml,Port/Sherry,Portugal
1558,Rochioli Pinot Noir Russian River 750ml,Pinot Noir,California
644,DeLoach Pinot Noir Russian River 750ml,Pinot Noir,California
1698,St Clement Cabernet Napa 750ml,Cabernet Sauvignon,California
1724,Steele Cuvee Chardonnay 750ml 1997,Chardonnay,California
889,Gekkeikan Sake 750ml,Wine (Misc),California
1062,Justin Justification 750ml,Misc Red,California
1704,St Supery Cabernet Napa 750ml,Cabernet Sauvignon,California
1668,Sinskey Pinot Noir Carneros 750ml,Pinot Noir,California
1752,Sutter Home Merlot 187ml-4p,Wine (Misc),California
766,Feuillatte Brut Rose 750ml,French Champagne,France
1628,Schramsberg Cremant Demi-Sec 750ml,Wine - Sparkling,California
726,Estancia Red Meritage 750ml,Cabernet Sauvignon,California
851,Frescobaldi Nipozzano Chianti Rsrv 750ml,Tuscany,Italy
1852,Turning Leaf Chardonnay 750ml,Chardonnay,California
573,Corbett Canyon Merlot 1.5L,1.5L Merlot,California
1441,Penfolds Shiraz Kalimna Bin 28 750ml,Syrah/Shiraz,Australia
183,Benton Lane Pinot Noir 750ml,Pinot Noir,Oregon
172,Bartenura Moscato 750ml,Misc White,Italy
1199,Los Vascos Cabernet Grande Reserve 750ml,Cabernet Sauvignon,Chile
992,IL Poggione Rosso di Montalcino 750ml 2015,Tuscany,Italy
345,Campo Viejo Rioja Gran Reserva 750ml,Wine - Spain,Spain
1425,Pascal Jolivet Sancerre 750ml 2015,Loire,France
1913,Wente Chardonnay Riva Ranch Res 750ml,Chardonnay,California
1235,Mark West Chardonnay 750ml,Chardonnay,California
1891,Veuve Clicquot Demi-Sec 750ml,French Champagne,France
1427,Patz & Hall Pinot Noir Sonoma Coas 750ml 2005,Pinot Noir,California
1246,Marques de Caceres Rioja Reserva 750ml,Wine - Spain,Spain
1455,Peter Vella Delicious Red 5LBox,Box Wines,California
174,Beaux Freres Pinot Noir Willamette 750ml,Pinot Noir,Oregon
1854,Turning Leaf Merlot 750ml,Merlot,California
703,Ecco Domani Pinot Grigio 750ml,Pinot Grigio,Italy
1137,Landmark Chardonnay Overlook 750ml,Chardonnay,California
1215,Luna di Luna Merlot / Cabernet 750ml,Merlot,Italy
536,Concha Y Toro Frontera Shiraz 1.5L,1.5L Shiraz,Chile
884,Gascon Malbec 750ml,Malbec,Argentina
1452,Peter Vella Cabernet 5LBox,Box Wines,California
666,Dow's LBV Port 750ml,Port/Sherry,Portugal
1748,Sutter Home Fre Moscato 750ml,Wine (Misc),California
333,BV Napa Cabernet 750ml,Cabernet Sauvignon,California
413,Ch Morrisette Red The Black Dog 750ml,Local Wine,Virginia
1486,Quady Electra 750ml 1999,Dessert,California
1454,Peter Vella Chardonnay 5LBox,Box Wines,California
1195,Livingston Cellars White Zinfandel 3L,Wine - 3L/4L,California
437,Chalk Hill Chardonnay Estate 750ml,Chardonnay,California
248,Black Opal Cabernet 750ml,Cabernet Sauvignon,Australia
1927,Williamsburg Two Shilling Red 750ml,Local Wine,Virginia
1582,Ruffino Aziano Chianti Classico 750ml,Tuscany,Italy
548,Cooks Extra Dry 187ml-4p,Wine - Sparkling,California
843,Freixenet Carta Nevada Brut 750ml,Wine - Sparkling,Spain
1007,J Roget Extra Dry 750ml,Wine - Sparkling,California
1228,Manischewitz Concord Grape 3L,Wine (Misc),New York
1606,S Sohne Zeller Schwarze Katz 750ml,Wine - Germany,Germany
1951,Yago Sangria Sant'gria 1.5L,Wine - White Zin./Beverage,Spain
579,Corbett Canyon White Zinfandel 1.5L,Wine - White Zin./Beverage,California
1940,Woodbridge Mondavi Merlot 750ml,Merlot,California
42,Allegrini Amarone della Valpol Cls 750ml 2009,Wine - Italy Red,Italy
1108,Kris Pinot Grigio 750ml 2014,Pinot Grigio,Italy
963,Hess Chardonnay Napa 750ml,Chardonnay,California
1984,Yellow Tail Shiraz 750ml,Syrah/Shiraz,Australia
842,Frei Brothers Pinot Noir Reserve 750ml,Pinot Noir,California
1599,Rutherford Ranch Cabernet 750ml,Cabernet Sauvignon,California
1524,Redwood Creek Cabernet 1.5L,1.5L Cabernet,California
100,Artesa Pinot Noir Carneros 750ml 2013,Pinot Noir,California
574,Corbett Canyon Merlot 3LBox,Wine - 3L/4L,California
1088,Kim Crawford Chardonnay Unoaked 750ml,Chardonnay,New Zealand
808,Foxhorn White Zinfandel 1.5L,Wine - White Zin./Beverage,California
1332,Mondavi Prvt Sel Cabernet 1.5L,1.5L Cabernet,California
1681,Smoking Loon Pinot Noir 750ml,Pinot Noir,California
826,Franzia Fruity Red Sangria 5LBox,Box Wines,Global
1540,Ridge Zinfandel Geyserville 750ml 2007,Zinfandel,California
120,Banfi Col Di Sasso 750ml,Tuscany,Italy
580,Cousino Macul Antiguas Cab Reserve 750ml,Cabernet Sauvignon,Chile
980,Horton Norton 750ml,Local Wine,Virginia
981,Horton Viognier 750ml,Local Wine,Virginia
1776,Sweetland Cellars Spiced Wassail 750ml,Local Wine,Maryland
124,Barboursville Cabernet 750ml,Local Wine,Virginia
125,Barboursville Chardonnay 750ml,Local Wine,Virginia
250,Blackstone Cabernet California 750ml,Cabernet Sauvignon,California
1284,Meridian Chardonnay 1.5L,1.5L Chard,California
513,Columbia Crest Grd Est Chardonnay 750ml,Chardonnay,Washington
1335,Mondavi Prvt Sel Chardonnay 1.5L,1.5L Chard,California
128,Barboursville Phileo 750ml,Local Wine,Virginia
129,Barboursville Pinot Grigio 750ml,Local Wine,Virginia
1181,Linganore Spiced Apple 750ml,Local Wine,Maryland
863,Gabbiano Cavaliere Chianti Class.R 750ml,Tuscany,Italy
946,Hakutsuru Junmai Sake 1.8L,Wine (Misc),Japan
202,Beringer Founders' Chardonnay 750ml,Chardonnay,California
957,Hazlitt Sweet Red Cat 750ml,Local Wine,New York
90,Arbor Mist Strawberry White Zin 1.5L,Wine - White Zin./Beverage,New York
805,Foxhorn Chardonnay 1.5L,1.5L Chard,California
806,Foxhorn Merlot 1.5L,1.5L Merlot,California
1986,Yellow Tail Shiraz Cabernet 750ml,Syrah/Shiraz,Australia
94,Argyle Pinot Noir Reserve 750ml,Pinot Noir,Oregon
1484,Protocolo Tinto 750ml 2006,Wine - Spain,Spain
954,Harveys Bristol Cream Sherry 1L,Port/Sherry,Spain
487,Clos du Bois Cab Reserve Alex V 750ml,Cabernet Sauvignon,California
92,Argyle Pinot Noir 750ml,Pinot Noir,Oregon
691,Duplin Hatteras Red 750ml,Local Wine,North Carolina
1542,Ridge Zinfandel Pagani Ranch 750ml 2006,Zinfandel,California
645,Di Majo Norante Sangiovese 750ml 2013,Wine - Italy Red,Italy
1641,Segura Viudas Brut Heredad Resrva 750ml,Wine - Sparkling,Spain
795,Fonseca LBV 750ml,Port/Sherry,Portugal
1389,Norton 1895 Malbec 750ml,Malbec,Argentina
765,Feuillatte Brut One Fo(u)r Blue 750ml,French Champagne,France
870,Gallo Family Vineyard White Merlot 1.5L,Wine - White Zin./Beverage,California
35,Alamos Malbec 750ml,Malbec,Argentina
1738,Stone Cellars Chardonnay 1.5L,1.5L Chard,California
1603,S Sohne Riesling Kabinett Blue 750ml,Wine - Germany,Germany
331,BV Coastal Merlot 750ml,Merlot,California
1326,Mondavi CK Cabernet 750ml,Cabernet Sauvignon,California
400,Cecchi Chianti Classico 750ml,Tuscany,Italy
126,Barboursville Merlot 750ml,Local Wine,Virginia
1655,Sho Chiku Bai Junmai Sake 1.5L,Wine (Misc),California
1784,Talbott Chardonnay Sleepy Hollow 750ml,Chardonnay,California
1339,Mondavi Prvt Sel Merlot 750ml,Merlot,California
868,Gaja Barbaresco 750ml 2007,Piedmont,Italy
827,Franzia Merlot 5LBox,Box Wines,Global
215,Beringer PVS White Zinfandel 750ml,Wine - White Zin./Beverage,California
1642,Segura Viudas Brut Reserva 750ml,Wine - Sparkling,Spain
233,Biltmore Estate Riesling 750ml,Local Wine,North Carolina
280,Bollinger La Grand Annee 750ml,French Champagne,France
1333,Mondavi Prvt Sel Cabernet 750ml,Cabernet Sauvignon,California
756,Fess Parker Pinot Noir 750ml,Pinot Noir,California
337,Cain 5 750ml,Cabernet Sauvignon,California
674,Dry Creek Chenin Blanc 750ml,Misc White,California
415,Ch Musar Red 750ml,Wine (Misc),Lebanon
1780,Taittinger Prestige Rose Brut 750ml,French Champagne,France
1517,Real Sangria 750ml,Wine - White Zin./Beverage,Spain
1438,Penfolds Club Port 750ml,Port/Sherry,Australia
1013,J Vineyards Pinot Noir RRV 750ml,Pinot Noir,California
558,Coppola Diamond Merlot 750ml,Merlot,California
556,Coppola Diamond Chardonnay 750ml,Chardonnay,California
557,Coppola Diamond Claret 750ml,Cabernet Sauvignon,California
284,Bonterra Merlot 750ml,Merlot,California
255,Blandy's Malmsey 5 Year 750ml,Dessert,Portugal
1897,Villa Maria Sauvignon Blanc PrvBin 750ml,Sauvignon Blanc,New Zealand
1472,Pommery Brut Royal 750ml,French Champagne,France
380,Casarsa Pinot Grigio (Pinot Blanc) 1.5L,1.5L Pinot Grigio,Italy
1737,Stone Cellars Cabernet 1.5L,1.5L Cabernet,Argentina
839,Frei Brothers Cabernet Reserve 750ml,Cabernet Sauvignon,California
840,Frei Brothers Chardonnay Reserve 750ml,Chardonnay,California
786,Flowers Chardonnay Sonoma 750ml,Chardonnay,California
866,Gabbiano Cavaliere Pinot Grigio 750ml,Pinot Grigio,Italy
1457,Peter Vella Merlot 5LBox,Box Wines,California
1525,Redwood Creek Chardonnay 1.5L,1.5L Chard,California
1414,Pacific Peak Merlot 750ml,Merlot,California
99,Artesa Chardonnay Carneros 750ml 2013,Chardonnay,California
